Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,1/22/2020 17:00,1,,
Beijing,Mainland China,1/22/2020 17:00,14,,
Chongqing,Mainland China,1/22/2020 17:00,6,,
Fujian,Mainland China,1/22/2020 17:00,1,,
Gansu,Mainland China,1/22/2020 17:00,,,
Guangdong,Mainland China,1/22/2020 17:00,26,,
Guangxi,Mainland China,1/22/2020 17:00,2,,
Guizhou,Mainland China,1/22/2020 17:00,1,,
Hainan,Mainland China,1/22/2020 17:00,4,,
Hebei,Mainland China,1/22/2020 17:00,1,,
Heilongjiang,Mainland China,1/22/2020 17:00,,,
Henan,Mainland China,1/22/2020 17:00,5,,
Hong Kong,Hong Kong,1/22/2020 17:00,,,
Hubei,Mainland China,1/22/2020 17:00,444,17,28
Hunan,Mainland China,1/22/2020 17:00,4,,
Inner Mongolia,Mainland China,1/22/2020 17:00,,,
Jiangsu,Mainland China,1/22/2020 17:00,1,,
Jiangxi,Mainland China,1/22/2020 17:00,2,,
Jilin,Mainland China,1/22/2020 17:00,,,
Liaoning,Mainland China,1/22/2020 17:00,2,,
Macau,Macau,1/22/2020 17:00,1,,
Ningxia,Mainland China,1/22/2020 17:00,1,,
Qinghai,Mainland China,1/22/2020 17:00,,,
Shaanxi,Mainland China,1/22/2020 17:00,,,
Shandong,Mainland China,1/22/2020 17:00,2,,
Shanghai,Mainland China,1/22/2020 17:00,9,,
Shanxi,Mainland China,1/22/2020 17:00,1,,
Sichuan,Mainland China,1/22/2020 17:00,5,,
Taiwan,Taiwan,1/22/2020 17:00,1,,
Tianjin,Mainland China,1/22/2020 17:00,4,,
Tibet,Mainland China,1/22/2020 17:00,,,
Washington,US,1/22/2020 17:00,1,,
Xinjiang,Mainland China,1/22/2020 17:00,,,
Yunnan,Mainland China,1/22/2020 17:00,1,,
Zhejiang,Mainland China,1/22/2020 17:00,10,,
,Japan,1/22/2020 17:00,2,,
,Thailand,1/22/2020 17:00,2,,
,South Korea,1/22/2020 17:00,1,,
﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,1/23/20 17:00,9,,
Beijing,Mainland China,1/23/20 17:00,22,,
Chongqing,Mainland China,1/23/20 17:00,9,,
Fujian,Mainland China,1/23/20 17:00,5,,
Gansu,Mainland China,1/23/20 17:00,2,,
Guangdong,Mainland China,1/23/20 17:00,32,,2
Guangxi,Mainland China,1/23/20 17:00,5,,
Guizhou,Mainland China,1/23/20 17:00,3,,
Hainan,Mainland China,1/23/20 17:00,5,,
Hebei,Mainland China,1/23/20 17:00,1,1,
Heilongjiang,Mainland China,1/23/20 17:00,2,,
Henan,Mainland China,1/23/20 17:00,5,,
Hong Kong,Hong Kong,1/23/20 17:00,2,,
Hubei,Mainland China,1/23/20 17:00,444,17,28
Hunan,Mainland China,1/23/20 17:00,9,,
Inner Mongolia,Mainland China,1/23/20 17:00,,,
Jiangsu,Mainland China,1/23/20 17:00,5,,
Jiangxi,Mainland China,1/23/20 17:00,7,,
Jilin,Mainland China,1/23/20 17:00,1,,
Liaoning,Mainland China,1/23/20 17:00,3,,
Macau,Macau,1/23/20 17:00,2,,
Ningxia,Mainland China,1/23/20 17:00,1,,
Qinghai,Mainland China,1/23/20 17:00,,,
Shaanxi,Mainland China,1/23/20 17:00,3,,
Shandong,Mainland China,1/23/20 17:00,6,,
Shanghai,Mainland China,1/23/20 17:00,16,,
Shanxi,Mainland China,1/23/20 17:00,1,,
Sichuan,Mainland China,1/23/20 17:00,8,,
Taiwan,Taiwan,1/23/20 17:00,1,,
Tianjin,Mainland China,1/23/20 17:00,4,,
Tibet,Mainland China,1/23/20 17:00,,,
Washington,US,1/23/20 17:00,1,,
Xinjiang,Mainland China,1/23/20 17:00,2,,
Yunnan,Mainland China,1/23/20 17:00,2,,
Zhejiang,Mainland China,1/23/20 17:00,27,,
,Japan,1/23/20 17:00,1,,
,Thailand,1/23/20 17:00,3,,
,South Korea,1/23/20 17:00,1,,
,Singapore,1/23/20 17:00,1,,
,Philippines,1/23/20 17:00,,,
,Malaysia,1/23/20 17:00,,,
,Vietnam,1/23/20 17:00,2,,
,Australia,1/23/20 17:00,,,
,Mexico,1/23/20 17:00,,,
,Brazil,1/23/20 17:00,,,
,Colombia,1/23/20 17:00,,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/24/20 17:00,549,24,31
Guangdong,Mainland China,1/24/20 17:00,53,,2
Zhejiang,Mainland China,1/24/20 17:00,43,,1
Beijing,Mainland China,1/24/20 17:00,36,,1
Chongqing,Mainland China,1/24/20 17:00,27,,
Hunan,Mainland China,1/24/20 17:00,24,,
Guangxi,Mainland China,1/24/20 17:00,23,,
Shanghai,Mainland China,1/24/20 17:00,20,,1
Jiangxi,Mainland China,1/24/20 17:00,18,,
Sichuan,Mainland China,1/24/20 17:00,15,,
Shandong,Mainland China,1/24/20 17:00,15,,
Anhui,Mainland China,1/24/20 17:00,15,,
Fujian,Mainland China,1/24/20 17:00,10,,
Henan,Mainland China,1/24/20 17:00,9,,
Jiangsu,Mainland China,1/24/20 17:00,9,,
Hainan,Mainland China,1/24/20 17:00,8,,
Tianjin,Mainland China,1/24/20 17:00,8,,
Yunnan,Mainland China,1/24/20 17:00,5,,
Shaanxi,Mainland China,1/24/20 17:00,5,,
Heilongjiang,Mainland China,1/24/20 17:00,4,1,
Liaoning,Mainland China,1/24/20 17:00,4,,
Guizhou,Mainland China,1/24/20 17:00,3,,
Jilin,Mainland China,1/24/20 17:00,3,,
Taiwan,Taiwan,1/24/20 17:00,3,,
Ningxia,Mainland China,1/24/20 17:00,2,,
Hong Kong,Hong Kong,1/24/20 17:00,2,,
Macau,Macau,1/24/20 17:00,2,,
Hebei,Mainland China,1/24/20 17:00,2,1,
Gansu,Mainland China,1/24/20 17:00,2,,
Xinjiang,Mainland China,1/24/20 17:00,2,,
Shanxi,Mainland China,1/24/20 17:00,1,,
Inner Mongolia,Mainland China,1/24/20 17:00,1,,
Qinghai,Mainland China,1/24/20 17:00,,,
Washington,US,1/24/20 17:00,1,,
Chicago,US,1/24/20 17:00,1,,
,Japan,1/24/20 17:00,2,,
,Thailand,1/24/20 17:00,5,,
,South Korea,1/24/20 17:00,2,,
,Singapore,1/24/20 17:00,3,,
,Vietnam,1/24/20 17:00,2,,
,France,1/24/20 17:00,2,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/25/20 17:00,761,40,32
Guangdong,Mainland China,1/25/20 17:00,78,,2
Zhejiang,Mainland China,1/25/20 17:00,62,,1
Chongqing,Mainland China,1/25/20 17:00,57,,
Hunan,Mainland China,1/25/20 17:00,43,,
Beijing,Mainland China,1/25/20 17:00,41,,2
Anhui,Mainland China,1/25/20 17:00,39,,
Shanghai,Mainland China,1/25/20 17:00,33,,1
Henan,Mainland China,1/25/20 17:00,32,,
Sichuan,Mainland China,1/25/20 17:00,28,,
Shandong,Mainland China,1/25/20 17:00,27,,
Guangxi,Mainland China,1/25/20 17:00,23,,
Hainan,Mainland China,1/25/20 17:00,19,,
Jiangxi,Mainland China,1/25/20 17:00,18,,
Fujian,Mainland China,1/25/20 17:00,18,,
Jiangsu,Mainland China,1/25/20 17:00,18,,1
Liaoning,Mainland China,1/25/20 17:00,17,,
Shaanxi,Mainland China,1/25/20 17:00,15,,
Yunnan,Mainland China,1/25/20 17:00,11,,
Tianjin,Mainland China,1/25/20 17:00,10,,
Heilongjiang,Mainland China,1/25/20 17:00,9,1,
Hebei,Mainland China,1/25/20 17:00,8,1,
Inner Mongolia,Mainland China,1/25/20 17:00,7,,
Shanxi,Mainland China,1/25/20 17:00,6,,
Hong Kong,Hong Kong,1/25/20 17:00,5,,
Guizhou,Mainland China,1/25/20 17:00,4,,
Jilin,Mainland China,1/25/20 17:00,4,,
Gansu,Mainland China,1/25/20 17:00,4,,
Ningxia,Mainland China,1/25/20 17:00,3,,
Taiwan,Taiwan,1/25/20 17:00,3,,
Xinjiang,Mainland China,1/25/20 17:00,3,,
Macau,Macau,1/25/20 17:00,2,,
Qinghai,Mainland China,1/25/20 17:00,1,,
Washington,US,1/25/20 17:00,1,,
Illinois,US,1/25/20 17:00,1,,
,Japan,1/25/20 17:00,2,,
,Thailand,1/25/20 17:00,7,,
,South Korea,1/25/20 17:00,2,,
,Singapore,1/25/20 17:00,3,,
,Vietnam,1/25/20 17:00,2,,
,France,1/25/20 17:00,3,,
,Australia,1/25/20 17:00,4,,
,Nepal,1/25/20 17:00,1,,
,Malaysia,1/25/20 17:00,3,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/26/20 16:00,1058,52,42
Guangdong,Mainland China,1/26/20 16:00,111,,2
Zhejiang,Mainland China,1/26/20 16:00,104,,1
Henan,Mainland China,1/26/20 16:00,83,1,
Chongqing,Mainland China,1/26/20 16:00,75,,
Hunan,Mainland China,1/26/20 16:00,69,,
Beijing,Mainland China,1/26/20 16:00,68,,2
Anhui,Mainland China,1/26/20 16:00,60,,
Shandong,Mainland China,1/26/20 16:00,46,,
Sichuan,Mainland China,1/26/20 16:00,44,,
Shanghai,Mainland China,1/26/20 16:00,40,1,1
Guangxi,Mainland China,1/26/20 16:00,36,,
Jiangxi,Mainland China,1/26/20 16:00,36,,
Fujian,Mainland China,1/26/20 16:00,35,,
Jiangsu,Mainland China,1/26/20 16:00,33,,1
Hainan,Mainland China,1/26/20 16:00,22,,
Shaanxi,Mainland China,1/26/20 16:00,22,,
Liaoning,Mainland China,1/26/20 16:00,21,,
Yunnan,Mainland China,1/26/20 16:00,16,,
Heilongjiang,Mainland China,1/26/20 16:00,15,1,
Tianjin,Mainland China,1/26/20 16:00,14,,
Hebei,Mainland China,1/26/20 16:00,13,1,
Shanxi,Mainland China,1/26/20 16:00,9,,
Hong Kong,Hong Kong,1/26/20 16:00,8,,
Inner Mongolia,Mainland China,1/26/20 16:00,7,,
Gansu,Mainland China,1/26/20 16:00,7,,
Guizhou,Mainland China,1/26/20 16:00,5,,
Macau,Macau,1/26/20 16:00,5,,
Ningxia,Mainland China,1/26/20 16:00,4,,
Jilin,Mainland China,1/26/20 16:00,4,,
Taiwan,Taiwan,1/26/20 16:00,4,,
Xinjiang,Mainland China,1/26/20 16:00,4,,
Qinghai,Mainland China,1/26/20 16:00,1,,
Washington,US,1/26/20 16:00,1,,
Illinois,US,1/26/20 16:00,1,,
California,US,1/26/20 16:00,2,,
Arizona,US,1/26/20 16:00,1,,
,Japan,1/26/20 16:00,4,,1
,Thailand,1/26/20 16:00,8,,2
,South Korea,1/26/20 16:00,3,,
,Singapore,1/26/20 16:00,4,,
,Vietnam,1/26/20 16:00,2,,
,France,1/26/20 16:00,3,,
,Australia,1/26/20 16:00,4,,
,Nepal,1/26/20 16:00,1,,
,Malaysia,1/26/20 16:00,4,,
Ontario,Canada,1/26/20 16:00,1,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/27/20 23:59,1423,76,45
Guangdong,Mainland China,1/27/20 23:59,151,,4
Zhejiang,Mainland China,1/27/20 23:59,128,,1
Henan,Mainland China,1/27/20 23:59,128,1,
Chongqing,Mainland China,1/27/20 23:59,110,,
Hunan,Mainland China,1/27/20 23:59,100,,
Beijing,Mainland China,1/27/20 23:59,80,1,2
Shandong,Mainland China,1/27/20 23:59,75,,
Jiangxi,Mainland China,1/27/20 23:59,72,,2
Anhui,Mainland China,1/27/20 23:59,70,,
Sichuan,Mainland China,1/27/20 23:59,69,,
Fujian,Mainland China,1/27/20 23:59,59,,
Shanghai,Mainland China,1/27/20 23:59,53,1,3
Jiangsu,Mainland China,1/27/20 23:59,47,,1
Guangxi,Mainland China,1/27/20 23:59,46,,
Shaanxi,Mainland China,1/27/20 23:59,35,,
Hainan,Mainland China,1/27/20 23:59,33,1,
Liaoning,Mainland China,1/27/20 23:59,27,,
Yunnan,Mainland China,1/27/20 23:59,26,,
Tianjin,Mainland China,1/27/20 23:59,23,,
Heilongjiang,Mainland China,1/27/20 23:59,21,1,
Hebei,Mainland China,1/27/20 23:59,18,1,
