Country.Region,date,total_count
Afghanistan,1.22.20,0
Algeria,1.22.20,0
Andorra,1.22.20,0
Argentina,1.22.20,0
Armenia,1.22.20,0
Australia,1.22.20,0
Austria,1.22.20,0
Azerbaijan,1.22.20,0
Bahrain,1.22.20,0
Belarus,1.22.20,0
Belgium,1.22.20,0
Bhutan,1.22.20,0
Bosnia and Herzegovina,1.22.20,0
Brazil,1.22.20,0
Cambodia,1.22.20,0
Cameroon,1.22.20,0
Canada,1.22.20,0
Chile,1.22.20,0
Colombia,1.22.20,0
Costa Rica,1.22.20,0
Croatia,1.22.20,0
Czech Republic,1.22.20,0
Denmark,1.22.20,0
Dominican Republic,1.22.20,0
Ecuador,1.22.20,0
Egypt,1.22.20,0
Estonia,1.22.20,0
Faroe Islands,1.22.20,0
Finland,1.22.20,0
France,1.22.20,0
French Guiana,1.22.20,0
Georgia,1.22.20,0
Germany,1.22.20,0
Gibraltar,1.22.20,0
Greece,1.22.20,0
Hong Kong,1.22.20,0
Hungary,1.22.20,0
Iceland,1.22.20,0
India,1.22.20,0
Indonesia,1.22.20,0
Iran,1.22.20,0
Iraq,1.22.20,0
Ireland,1.22.20,0
Israel,1.22.20,0
Italy,1.22.20,0
Japan,1.22.20,2
Jordan,1.22.20,0
Kuwait,1.22.20,0
Latvia,1.22.20,0
Lebanon,1.22.20,0
Liechtenstein,1.22.20,0
Lithuania,1.22.20,0
Luxembourg,1.22.20,0
Macau,1.22.20,1
Mainland China,1.22.20,547
Malaysia,1.22.20,0
Malta,1.22.20,0
Martinique,1.22.20,0
Mexico,1.22.20,0
Monaco,1.22.20,0
Morocco,1.22.20,0
Nepal,1.22.20,0
Netherlands,1.22.20,0
New Zealand,1.22.20,0
Nigeria,1.22.20,0
North Macedonia,1.22.20,0
Norway,1.22.20,0
Oman,1.22.20,0
Others,1.22.20,0
Pakistan,1.22.20,0
Palestine,1.22.20,0
Peru,1.22.20,0
Philippines,1.22.20,0
Poland,1.22.20,0
Portugal,1.22.20,0
Qatar,1.22.20,0
Romania,1.22.20,0
Russia,1.22.20,0
Saint Barthelemy,1.22.20,0
San Marino,1.22.20,0
Saudi Arabia,1.22.20,0
Senegal,1.22.20,0
Serbia,1.22.20,0
Singapore,1.22.20,0
Slovakia,1.22.20,0
Slovenia,1.22.20,0
South Africa,1.22.20,0
South Korea,1.22.20,1
Spain,1.22.20,0
Sri Lanka,1.22.20,0
Sweden,1.22.20,0
Switzerland,1.22.20,0
Taiwan,1.22.20,1
Thailand,1.22.20,2
Togo,1.22.20,0
Tunisia,1.22.20,0
UK,1.22.20,0
Ukraine,1.22.20,0
United Arab Emirates,1.22.20,0
US,1.22.20,1
Vatican City,1.22.20,0
Vietnam,1.22.20,0
Afghanistan,1.23.20,0
Algeria,1.23.20,0
Andorra,1.23.20,0
Argentina,1.23.20,0
Armenia,1.23.20,0
Australia,1.23.20,0
Austria,1.23.20,0
Azerbaijan,1.23.20,0
Bahrain,1.23.20,0
Belarus,1.23.20,0
Belgium,1.23.20,0
Bhutan,1.23.20,0
Bosnia and Herzegovina,1.23.20,0
Brazil,1.23.20,0
Cambodia,1.23.20,0
Cameroon,1.23.20,0
Canada,1.23.20,0
Chile,1.23.20,0
Colombia,1.23.20,0
Costa Rica,1.23.20,0
Croatia,1.23.20,0
Czech Republic,1.23.20,0
Denmark,1.23.20,0
Dominican Republic,1.23.20,0
Ecuador,1.23.20,0
Egypt,1.23.20,0
Estonia,1.23.20,0
Faroe Islands,1.23.20,0
Finland,1.23.20,0
France,1.23.20,0
French Guiana,1.23.20,0
Georgia,1.23.20,0
Germany,1.23.20,0
Gibraltar,1.23.20,0
Greece,1.23.20,0
Hong Kong,1.23.20,2
Hungary,1.23.20,0
Iceland,1.23.20,0
India,1.23.20,0
